APOGEE_ID, P_knot, s_knot, P_bar, s_bar, P_disc, s_disc, X, Y, Z
b'2M16244643-4113532' , 0.0 , 0.0 , 0.007903026775446392 , 0.004006390307344183 , 0.9920969732221936 , 0.0022699290444808673 , -0.19325480446437737 , -2.910713812961547 , 0.8881926611752005
b'2M16245161-4050093' , 0.0 , 0.0 , 0.0006143877981461263 , 0.0004065126176591915 , 0.9993856120815103 , 0.00022091141956581684 , -0.4517234977257454 , -2.772106997656862 , 0.898011922378761
b'2M16250059-4127152' , 0.0 , 0.0 , 2.288375974037512e-05 , 1.9621634722267157e-05 , 0.999977116222373 , 9.617171118914136e-06 , -0.5858339180595822 , -2.789477404872618 , 0.8202774626326592
b'2M16250533-4144267' , 0.0 , 0.0 , 0.0023593567296917757 , 0.0013097101766394522 , 0.9976406432443956 , 0.0008764774688411192 , -0.8616404968238589 , -2.718585146759269 , 0.7636654219254629
b'2M16252511-4103018' , 0.0 , 0.0 , 0.415118736187972 , 0.31224692735563164 , 0.4847024740873381 , 0.2980685568860724 , -1.127770273455769 , -2.54476615397026 , 0.7934384200986169
b'2M16253104-4057126' , 0.0 , 0.0 , 0.0006814550980134327 , 0.0007712492416974673 , 0.9993056235414975 , 0.00028975333228009603 , -1.952473041307056 , -2.241790441768105 , 0.7117180970631956
b'2M16253622-4138207' , 0.0 , 0.0 , 0.19654636532772002 , 0.033662058475373485 , 0.8027874720280012 , 0.03327732535230343 , -0.7343586733105019 , -2.7440928857229494 , 0.7757984381940319
b'2M16260417-4137470' , 0.0 , 0.0 , 0.0004942918238576247 , 0.0003265568586897536 , 0.9995057075574357 , 0.0002395749888348675 , -1.3784459955181116 , -2.5012598097666108 , 0.7047442308660509
b'2M16261998-4109592' , 0.0 , 0.0 , 0.23361589812143832 , 0.04963120709219562 , 0.7663841018765056 , 0.03489662948340577 , -1.217465091184513 , -2.507894527912502 , 0.75664747455456
b'2M16262851-4109307' , 0.0 , 0.0 , 0.002028095577934352 , 0.0008402837357257375 , 0.9979718743014516 , 0.0006396133723157726 , -0.11695448660895558 , -2.8936681556439727 , 0.8673211694342372
b'2M16313212-2924273' , 0.0 , 0.0 , 0.4022216975069426 , 0.07991552572886285 , 0.5968094324525094 , 0.08752057890305831 , -1.6894067031983555 , -1.1689230824213992 , 1.5478464519389332
b'2M16320099-2918533' , 0.0 , 0.0 , 6.21174317616838e-05 , 6.973374465020106e-05 , 0.9999374494009658 , 2.3278375952950903e-05 , -2.768603523242633 , -0.9639129526025383 , 1.2977586705368025
b'2M16323261-2920366' , 0.0 , 0.0 , 0.026428987398873068 , 0.010294309132625648 , 0.9735710125926706 , 0.00810060476322294 , -2.036262020009503 , -1.085233534651088 , 1.453117020238766
b'2M16331388-3023000' , 0.0 , 0.0 , 0.9957990937505428 , 0.0013682095667549854 , 0.004200906248633849 , 0.0024935522745225727 , -2.139138992563293 , -1.1446704468640132 , 1.3411541538362675
b'2M16332081-2935590' , 0.0 , 0.0 , 0.0010348462517349797 , 0.0009807224917387795 , 0.9989507596911629 , 0.00045578542833801805 , -2.18302552056688 , -1.0684279800650391 , 1.385931295965265
b'2M16332609-3000232' , 0.0 , 0.0 , 0.14166716707838742 , 0.031002744793986764 , 0.856829550718091 , 0.026588753159029643 , -2.6362958982975533 , -1.0197684382743157 , 1.2568500277778203
