l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-33.383949  12.192905  6.3842  0.4636 -1.8952  0.0320 -0.8017  0.0336 -0.1838   -9.2679    0.4783  1.0000 -99.0000 -0.3818  0.3118 -99.0000 66.0000 2M15045518-4427145  
-33.941942  11.210133  7.0905  1.0524 -6.8133  0.0239 -0.8334  0.0226 -0.0178  -97.0209    0.2679  1.0000 -99.0000 -0.2902  0.2668 -99.0000 67.0000 2M15050141-4534420  
-33.372211  12.118211  6.2947  0.5411 -7.5557  0.0288 -1.1453  0.0334 -0.1689  -58.4851    0.3939  1.0000 -99.0000 -0.4130  0.2148 -99.0000 68.0000 2M15051112-4430465  
-33.594700  11.703977  6.0048  0.6016 -9.3016  0.0229  0.8448  0.0289 -0.0837  -86.5368    0.2445  1.0000 -99.0000 -0.3798  0.3623 -99.0000 70.0000 2M15051765-4458497  
-33.574098  11.688243  7.0407  0.6793 -7.7449  0.0249 -1.7489  0.0350 -0.0354   68.5564    0.5149  1.0000 -99.0000 -0.4233  0.3473 -99.0000 71.0000 2M15052625-4459023  
-33.500918  11.688865  6.3528  0.6204 -6.5650  0.0231 -0.7409  0.0234 -0.1742 -122.2689    0.1004  1.0000 -99.0000 -0.1068  0.2630 -99.0000 72.0000 2M15054716-4456508  
-33.313883  11.980877  7.7562  0.8514 -8.3792  0.0264  0.9860  0.0278 -0.1806 -136.5579    0.3061  1.0000 -99.0000 -0.3984  0.2925 -99.0000 73.0000 2M15055097-4436107  
-33.294973  11.958149  5.6658  0.3855 -4.3787  0.0271  1.2669  0.0287 -0.1251   41.1101    0.3290  1.0000 -99.0000 -0.3314  0.2965 -99.0000 74.0000 2M15060022-4436479  
-33.510330  11.579895  7.1376  1.0572 -10.0610  0.0160  0.4135  0.0190 -0.1934   30.3778    0.3813  1.0000 -99.0000 -0.3156  0.3042 -99.0000 75.0000 2M15060306-4502465  
-33.452091  11.617828  6.1924  0.4947 -5.0019  0.0299 -0.7904  0.0344 -0.1386  -11.9728    0.2482  1.0000 -99.0000 -0.4489  0.3531 -99.0000 76.0000 2M15061331-4459051  
-33.299722  11.853456  7.0453  0.7487 -6.7277  0.0313 -0.9164  0.0285 -0.2302 -162.7322    0.2510  1.0000 -99.0000 -0.5954  0.3779 -99.0000 77.0000 2M15061668-4442218  
-33.315381  11.818984  7.4277  1.0920 -6.8170  0.0211  0.9382  0.0196 -0.2463  -51.6636    0.4798  1.0000 -99.0000 -0.2637  0.2648 -99.0000 78.0000 2M15061809-4444367  
-33.380089  11.689526  5.3691  0.5654 -5.2207  0.0201  0.5409  0.0215 -0.2470  -80.3173    0.3043  1.0000 -99.0000 -0.1159  0.2708 -99.0000 79.0000 2M15062169-4453142  
-33.627695  11.214220  7.4558  0.8727 -6.8408  0.0341 -1.9081  0.0388 -0.1112 -103.4232    0.4138  1.0000 -99.0000 -0.4252  0.2068 -99.0000 80.0000 2M15063200-4525123  
-33.483236  11.323648  7.4583  1.0874 -5.7366  0.0339  0.3927  0.0367 -0.1286  -66.5870    0.4542  1.0000 -99.0000 -0.3591  0.3238 -99.0000 81.0000 2M15065487-4515147  
-33.424696  11.382856  7.1649  0.8531 -7.7439  0.0205 -0.7736  0.0224 -0.2542  -27.8103    0.2534  1.0000 -99.0000 -0.2347  0.2675 -99.0000 82.0000 2M15070153-4510263  
-30.668147  12.825535  5.0732  1.2343 -5.7566  0.0291  0.7283  0.0272 -0.1950  -92.3427    0.5165  1.0000 -99.0000 -0.2808  0.2506 -99.0000 84.0000 2M15153631-4232124  
-30.632720  12.840213  5.9585  0.4396 -5.8601  0.0241  0.5568  0.0282 -0.1801 -125.0971    0.3175  1.0000 -99.0000 -0.3226  0.3018 -99.0000 86.0000 2M15154323-4230210  
-30.796757  12.564788  6.3456  0.4171 -5.4677  0.0300  1.8761  0.0321 -0.3073 -140.5697    0.3829  1.0000 -99.0000 -0.3755  0.2836 -99.0000 87.0000 2M15154748-4249268  
-30.942773  12.326283  5.4385  0.3553 -6.6382  0.0257  0.2715  0.0237 -0.1524 -108.5471    0.3960  1.0000 -99.0000  0.0747  0.1087 -99.0000 88.0000 2M15155002-4306068  
-30.673667  12.692089  6.1129  0.9390 -3.7354  0.0189 -1.8534  0.0205 -0.2077   19.8205    0.1988  1.0000 -99.0000 -0.3748  0.3312 -99.0000 89.0000 2M15155821-4239079  
-30.904253  12.314525  7.2412  0.7446 -5.7765  0.0229 -0.3324  0.0216 -0.1621   -7.1839    0.2125  1.0000 -99.0000 -0.1264  0.2089 -99.0000 90.0000 2M15160253-4305297  
-30.623971  12.705227  6.1392  0.4905 -5.2997  0.0242  2.3364  0.0289 -0.1790 -107.8506    0.3519  1.0000 -99.0000 -0.5476  0.3421 -99.0000 92.0000 2M15160924-4236541  
-30.939261  12.213990  6.8212  0.6130 -4.3446  0.0277  0.9206  0.0262 -0.2167  -99.9428    0.4468  1.0000 -99.0000 -0.5413  0.3823 -99.0000 93.0000 2M15161082-4311411  
-30.634846  12.616771  4.6327  0.7118 -13.4582  0.0265 -2.2961  0.0212 -0.2955  -43.4754    0.7761  1.0000 -99.0000 -0.4581  0.3493 -99.0000 94.0000 2M15162187-4241430  
-30.761453  12.402680  5.7751  0.5471 -0.9147  0.0187  2.1982  0.0279 -0.3927   81.1131    0.3375  1.0000 -99.0000 -0.3453  0.1255 -99.0000 96.0000 2M15162556-4256320  
-30.397455  12.953436  5.2516  0.3820 -4.5309  0.0257 -4.8773  0.0409  0.0280   25.2810    0.3213  1.0000 -99.0000 -0.4221  0.3159 -99.0000 98.0000 2M15162619-4217129  
-30.628332  12.581275  4.8336  0.3863 -1.2514  0.0383 -0.1847  0.0387 -0.3501  -61.3172    0.2779  1.0000 -99.0000 -0.0813  0.2068 -99.0000 99.0000 2M15162987-4243183  
-30.739278  12.408624  5.5070  0.4375 -9.1427  0.0251  1.3313  0.0348 -0.4325  -32.6023    0.2703  1.0000 -99.0000 -0.4097  0.2922 -99.0000 100.0000 2M15163049-4255320  
-30.446316  12.817049  5.4670  0.3199 -5.6084  0.0230  1.0214  0.0280 -0.0901  -32.0229    0.2292  1.0000 -99.0000 -0.1883  0.1841 -99.0000 101.0000 2M15163710-4225387  
-34.502511   6.491086  7.5527  0.7437 -6.0144  0.0309 -1.8923  0.0265 -0.1687  -84.6941    0.3362  1.0000 -99.0000 -0.4150  0.3128 -99.0000 102.0000 2M15163908-4954362  
-30.888336  12.132135  5.7484  0.4130 -5.3291  0.0253 -1.4199  0.0264 -0.2602  -48.1575    0.2525  1.0000 -99.0000 -0.3409  0.2730 -99.0000 103.0000 2M15163914-4314130  
-30.912386  12.073807  6.0633  0.4043 -7.5820  0.0274 -3.2749  0.0254 -0.2206  -26.2019    0.2329  1.0000 -99.0000 -0.4957  0.3733 -99.0000 104.0000 2M15164298-4317555  
-34.671573   6.174228  8.2441  0.8386 -7.7297  0.0263 -0.8020  0.0449 -0.1223 -111.4798    0.4464  1.0000 -99.0000 -0.5227  0.2936 -99.0000 105.0000 2M15164866-5016041  
-30.601942  12.508805  4.9007  0.4595 -3.2732  0.0161 -1.8485  0.0190 -0.1966  -45.5348    0.2836  1.0000 -99.0000 -0.4319  0.3304 -99.0000 106.0000 2M15164974-4246078  
-34.560809   6.327058  6.0405  0.5602 -5.9179  0.0393 -2.3649  0.0485 -0.0673  -76.4600    0.2252  1.0000 -99.0000 -0.2271  0.2266 -99.0000 107.0000 2M15165324-5004474  
-30.882748  12.055424  7.5041  0.7278 -7.3984  0.0266  0.5549  0.0272 -0.2309  -32.3065    0.1729  1.0000 -99.0000 -0.1993  0.2412 -99.0000 108.0000 2M15165430-4317549  
-30.840592  12.095410  7.9477  0.7453 -7.6140  0.0280  0.8772  0.0320 -0.2733  -39.3403    0.3023  1.0000 -99.0000 -0.4015  0.3152 -99.0000 109.0000 2M15165862-4314337  
-30.617325  12.413697  5.9394  0.7598 -5.4632  0.0185  0.6462  0.0214 -0.2552 -177.3868    1.7841  1.0000 -99.0000 -0.4268  0.3167 -99.0000 111.0000 2M15170243-4251251  
-34.162244   6.831145  8.5369  0.9336 -6.3782  0.0253 -0.0946  0.0294 -0.1768  -56.7310    0.2457  1.0000 -99.0000 -0.4648  0.3336 -99.0000 113.0000 2M15171821-4926325  
-30.542215  12.430459  5.7230  0.5195 -1.5312  0.0262 -0.1640  0.0317 -0.1350  -52.8002    0.3438  1.0000 -99.0000 -0.3252  0.3332 -99.0000 114.0000 2M15171964-4248114  
-34.201870   6.746055  5.5468  0.4515 -8.8451  0.0310 -0.3432  0.0376 -0.1645  -28.6156    0.3268  1.0000 -99.0000  0.2839  0.0461 -99.0000 115.0000 2M15172266-4932072  
-30.549824  12.376006  5.1090  0.3645 -8.1386  0.0310  0.9932  0.0346 -0.2038 -103.4788    0.3866  1.0000 -99.0000 -0.2430  0.2731 -99.0000 116.0000 2M15172726-4251107  
-34.148183   6.805754  7.4431  0.7696 -7.3458  0.0238  0.4114  0.0276 -0.1072  -29.2162    1.8781  1.0000 -99.0000 -0.1201  0.2307 -99.0000 117.0000 2M15172757-4927231  
-34.312913   6.541046  8.1781  0.9914 -8.0293  0.0333 -0.2533  0.0329 -0.1278  -34.0788    1.5509  1.0000 -99.0000 -0.0862  0.0790 -99.0000 119.0000 2M15172856-4946033  
