l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-30.185746  13.007030  6.8844  0.1734 -3.7445  0.0285  0.0083  0.0298 -0.2403  -19.2539    0.5638  1.0000 -99.0000 -0.6727  0.3606 -99.0000 93.0000 2M15171300-4207486  
-30.549865  12.376022  5.8904  0.4706 -8.1386  0.0310  0.9932  0.0346 -0.2038 -103.4788    0.3866  1.0000 -99.0000 -0.2430  0.2731 -99.0000 96.0000 2M15172726-4251107  
-34.148210   6.805762  8.5187  0.1820 -7.3458  0.0238  0.4114  0.0276 -0.1072  -29.2162    1.8781  1.0000 -99.0000 -0.1201  0.2307 -99.0000 97.0000 2M15172757-4927231  
-30.267801  12.795795  7.3679  0.1776 -11.9423  0.0217  1.7949  0.0331 -0.0424   13.6369    0.2994  1.0000 -99.0000 -0.7718  0.3533 -99.0000 98.0000 2M15172842-4221034  
-34.298062   6.553416  7.7107  0.5176 -8.6652  0.0277  0.4887  0.0320 -0.0413  -58.5480    0.1240  1.0000 -99.0000  0.0272  0.1569 -99.0000 99.0000 2M15173076-4944572  
-30.348186  12.659193  5.4037  0.1360 -8.4031  0.0232  3.2327  0.0353 -0.1534  -36.3362    0.3177  1.0000 -99.0000 -0.2915  0.2741 -99.0000 100.0000 2M15173111-4230298  
-30.339089  12.617545  5.0398  0.3292 -9.8062  0.0323 -1.8159  0.0512 -0.1317  -65.7760    0.2581  1.0000 -99.0000 -0.2322  0.2935 -99.0000 101.0000 2M15174089-4232182  
-30.629865  12.166221  7.6849  0.7864 -9.3465  0.0332  0.9148  0.0438 -0.4413 -162.0680    0.3534  1.0000 -99.0000 -0.2337  0.3023 -99.0000 103.0000 2M15174302-4304179  
-30.166201  12.809349  6.4922  0.3167 -5.2382  0.0284 -0.9037  0.0312 -0.1128 -107.9295    0.7585  1.0000 -99.0000 -0.7641  0.3101 -99.0000 105.0000 2M15175299-4217087  
-30.569780  12.183028  6.8348  0.1490 -8.1673  0.0324  0.7832  0.0345 -0.2208  -56.0913    0.6875  1.0000 -99.0000 -0.3103  0.1893 -99.0000 106.0000 2M15175623-4301323  
-30.498320  12.245914  6.8589  0.9374 -7.3312  0.0193  2.3095  0.0201 -0.1071 -103.7519    2.7489  1.0000 -99.0000  0.0317  0.1546 -99.0000 107.0000 2M15180425-4256056  
-34.360728   6.250830  8.2049  0.4648 -2.8245  0.0278 -1.1894  0.0339 -0.1485   18.7802    0.3186  1.0000 -99.0000 -0.3077  0.3204 -99.0000 108.0000 2M15181134-5002180  
-30.214596  12.618856  5.4303  0.0930 -5.9118  0.0160  1.4516  0.0191 -0.2791  -75.3640    3.2238  1.0000 -99.0000 -0.6389  0.3273 -99.0000 109.0000 2M15181384-4228164  
-34.483467   6.043506  5.9622  1.5363 -5.6928  0.0481  0.3974  0.0708 -0.1126  -53.8440    0.3326  1.0000 -99.0000 -0.2375  0.2139 -99.0000 110.0000 2M15181426-5016436  
-30.713347  11.849494  5.2209  0.1260 -5.2294  0.0239  0.6756  0.0261 -0.1762  -18.5337    0.2490  1.0000 -99.0000 -0.6501  0.3031 -99.0000 112.0000 2M15181708-4322550  
-30.730878  11.798325  5.7075  0.5535 -8.0361  0.0278  7.2075  0.0341 -0.1876  -97.3644    0.3340  1.0000 -99.0000 -0.5118  0.3413 -99.0000 114.0000 2M15182152-4326032  
-30.567676  12.039866  7.6314  0.3833 -7.3005  0.0208  1.4406  0.0255 -0.1893  -52.3843    0.1939  1.0000 -99.0000 -0.4414  0.3495 -99.0000 115.0000 2M15182237-4308408  
-30.537908  12.030586  8.0550  0.3081 -8.0557  0.0202 -0.1989  0.0217 -0.2321  -60.5574    0.4404  1.0000 -99.0000 -0.6490  0.2695 -99.0000 118.0000 2M15183207-4308117  
-30.494796  12.085890  5.8817  0.3202 -1.1590  0.0323 -1.3782  0.0344 -0.1527    8.4587    0.3877  1.0000 -99.0000 -0.2896  0.2746 -99.0000 119.0000 2M15183377-4304020  
-30.638074  11.843926  6.7134  0.0756 -6.0202  0.0173 -0.3974  0.0221 -0.1838  -55.3660    0.2443  1.0000 -99.0000 -0.2557  0.2427 -99.0000 121.0000 2M15183849-4320474  
-33.998335   6.669663  6.8034  0.2586 -8.1730  0.0229 -1.2673  0.0340 -0.2113  -28.3061    0.2656  1.0000 -99.0000  0.2583  0.0498 -99.0000 123.0000 2M15184091-4929302  
-30.185016  12.466368  6.7026  0.2101 -3.5424  0.0304  0.3086  0.0286 -0.1415 -103.6164    0.3038  1.0000 -99.0000 -0.7981  0.2740 -99.0000 125.0000 2M15184882-4234596  
-30.537420  11.933463  5.9944  0.2314 -4.1148  0.0281 -2.3714  0.0297 -0.2868  -64.4352    0.2416  1.0000 -99.0000 -0.2710  0.2689 -99.0000 127.0000 2M15184962-4313039  
-34.514801   5.811479  5.6806  0.1328 -2.6061  0.0997 -2.0390  0.1294 -0.1083  -47.6033    0.2849  1.0000 -99.0000 -0.4427  0.2468 -99.0000 128.0000 2M15185113-5029290  
-33.876251   6.778189  6.5655  0.1579 -6.5282  0.0249 -0.4391  0.0312 -0.2469  -30.7387    0.2220  1.0000 -99.0000  0.0526  0.1420 -99.0000 133.0000 2M15185711-4920062  
-34.384452   5.980786  6.3055  0.2097 -5.3989  0.0541  1.1258  0.0755 -0.1068  -71.1292    0.2516  1.0000 -99.0000 -0.2610  0.1298 -99.0000 134.0000 2M15185810-5016442  
-30.377330  12.126201  5.1727  0.2623  1.3087  0.0340  1.2848  0.0424 -0.1332  -32.7602    0.2792  1.0000 -99.0000 -0.7067  0.3143 -99.0000 135.0000 2M15185815-4258150  
-30.062269  12.536673  7.5729  0.3872 -6.1452  0.0181 -0.4689  0.0157 -0.2293  -94.1017    0.1835  1.0000 -99.0000 -0.3719  0.2943 -99.0000 138.0000 2M15190896-4227317  
-30.481303  11.887593  7.1715  0.1925 -1.4686  0.0164  0.0406  0.0242 -0.0521  -92.0325    0.5379  1.0000 -99.0000 -0.5594  0.3415 -99.0000 139.0000 2M15191302-4313344  
-30.440263  11.939693  6.5117  0.6135 -5.6460  0.0162 -2.6401  0.0233 -0.0486 -104.1915    0.6264  1.0000 -99.0000 -0.6377  0.2753 -99.0000 140.0000 2M15191471-4309381  
-30.011023  12.533042  7.3895  0.1347 -3.3649  0.0341 -2.9929  0.0323 -0.2641  -33.6139    0.3641  1.0000 -99.0000 -0.3524  0.2759 -99.0000 142.0000 2M15192322-4226039  
-33.853683   6.678944  7.6751  0.1443 -6.4549  0.0287  0.0141  0.0388 -0.2058  -79.9053    0.1664  1.0000 -99.0000  0.0773  0.0624 -99.0000 143.0000 2M15192378-4924238  
-30.287635  12.111555  6.8072  0.1681 -5.6669  0.0309  0.1188  0.0323 -0.2542  -91.0117    0.4335  1.0000 -99.0000 -0.4301  0.3062 -99.0000 145.0000 2M15192486-4256063  
-30.050134  12.426771  7.9680  0.1995 -7.7053  0.0227  0.4410  0.0202 -0.1853  -53.8297    0.4317  1.0000 -99.0000 -0.5860  0.3497 -99.0000 146.0000 2M15193181-4232392  
-29.992367  12.497343  9.4378  1.0869 -7.5036  0.0398  0.6357  0.0320 -0.3598  -24.3706    0.3932  1.0000 -99.0000 -0.5891  0.3259 -99.0000 147.0000 2M15193455-4227153  
-30.448516  11.785684  9.5494  0.2464 -1.4316  0.0336 -2.2931  0.0406 -0.1373  -89.7252    0.3938  1.0000 -99.0000 -0.3290  0.1355 -99.0000 148.0000 2M15194024-4317381  
-30.388789  11.867021  5.1739  0.3465 -4.7163  0.0153 -1.2301  0.0216 -0.0449  -79.1871    0.7790  1.0000 -99.0000 -0.2858  0.2996 -99.0000 149.0000 2M15194167-4311379  
-29.734469  12.833953  6.7504  0.1437 -6.0541  0.0205  1.1704  0.0233 -0.1452  -54.6743    0.2697  1.0000 -99.0000 -0.2593  0.2771 -99.0000 150.0000 2M15194271-4202052  
-34.226613   6.000637  8.2039  0.2245 -7.0938  0.0143 -1.8892  0.0258 -0.1092  -22.4063    0.2978  1.0000 -99.0000 -0.3941  0.3165 -99.0000 151.0000 2M15194373-5010398  
