l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-33.500973  11.688855  6.2953  0.2463 -6.5650  0.0231 -0.7409  0.0234 -0.1742 -122.2689    0.1004  1.0000 -99.0000 -0.1068  0.2630 -99.0000 53.0000 2M15054716-4456508  
-33.510385  11.579876  6.9659  0.4299 -10.0610  0.0160  0.4135  0.0190 -0.1934   30.3778    0.3813  1.0000 -99.0000 -0.3156  0.3042 -99.0000 54.0000 2M15060306-4502465  
-33.452132  11.617798  6.2412  0.2427 -5.0019  0.0299 -0.7904  0.0344 -0.1386  -11.9728    0.2482  1.0000 -99.0000 -0.4489  0.3531 -99.0000 55.0000 2M15061331-4459051  
-33.299788  11.853460  7.0205  0.2983 -6.7277  0.0313 -0.9164  0.0285 -0.2302 -162.7322    0.2510  1.0000 -99.0000 -0.5954  0.3779 -99.0000 56.0000 2M15061668-4442218  
-33.315442  11.818976  7.2791  0.4192 -6.8170  0.0211  0.9381  0.0196 -0.2463  -51.6636    0.4798  1.0000 -99.0000 -0.2637  0.2648 -99.0000 57.0000 2M15061809-4444367  
-33.627717  11.214211  7.3545  0.5591 -6.8408  0.0341 -1.9081  0.0388 -0.1112 -103.4232    0.4138  1.0000 -99.0000 -0.4252  0.2068 -99.0000 59.0000 2M15063200-4525123  
-33.424749  11.382813  7.1193  0.3138 -7.7439  0.0205 -0.7736  0.0224 -0.2542  -27.8103    0.2534  1.0000 -99.0000 -0.2347  0.2675 -99.0000 60.0000 2M15070153-4510263  
-33.288087  11.588829  5.8188  0.2903 -4.2086  0.0306 -3.3120  0.0333 -0.2375  -10.5015    0.2765  1.0000 -99.0000 -0.6387  0.3547 -99.0000 61.0000 2M15070529-4455428  
-30.668175  12.825543  5.2775  0.4612 -5.7566  0.0291  0.7283  0.0272 -0.1950  -92.3427    0.5165  1.0000 -99.0000 -0.2808  0.2506 -99.0000 62.0000 2M15153631-4232124  
-30.632756  12.840224  5.9981  0.2395 -5.8601  0.0241  0.5568  0.0282 -0.1801 -125.0971    0.3175  1.0000 -99.0000 -0.3226  0.3018 -99.0000 64.0000 2M15154323-4230210  
-30.942798  12.326267  5.4426  0.1699 -6.6382  0.0257  0.2714  0.0237 -0.1524 -108.5471    0.3960  1.0000 -99.0000  0.0747  0.1087 -99.0000 65.0000 2M15155002-4306068  
