l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.241020   5.894292  6.4835  0.3747 -4.9581  0.0301 -0.8352  0.0459   0.0459  -92.3808    7.0549  1.0000 -99.0000  0.0634  0.0678  8.2310 168.0000 2M15200073-5016300  
-34.053746   6.172326  4.9599  0.1815 -5.3665  0.0245 -1.5222  0.0414   0.0414   13.1509    0.8083  1.0000 -99.0000  0.1590  0.0371  4.3238 169.0000 2M15200314-4956255  
-30.285891  11.871960  6.1017  0.2188 -6.3084  0.0189 -0.1333  0.0228   0.0228  -99.4692    0.3030  1.0000 -99.0000 -0.3405  0.3115  8.8823 173.0000 2M15200847-4308041  
-34.031988   6.156324  8.4055  0.3593 -5.2657  0.0296 -2.1258  0.0575   0.0575  -81.7822    0.4345  1.0000 -99.0000 -0.3079  0.3128  9.9892 175.0000 2M15201315-4956318  
-30.011318  12.225049  6.0943  0.1067 -5.5002  0.0291 -1.8797  0.0315   0.0315 -142.7036    0.1593  1.0000 -99.0000 -0.2699  0.2840  7.0408 178.0000 2M15201830-4241308  
-34.049702   6.076368  5.4200  0.2493 -9.0385  0.0137 -1.3451  0.0258   0.0258  -84.9026    0.0691  1.0000 -99.0000 -0.1773  0.1793  7.7043 179.0000 2M15202378-5001082  
-30.094930  12.054206  7.5971  0.3538 -5.6505  0.0330 -3.1561  0.0305   0.0305  156.9943    0.0659  1.0000 -99.0000 -0.3435  0.2730  7.9147 180.0000 2M15202676-4252462  
-34.165336   5.850317  5.9761  0.3055 -8.1370  0.0198  1.8119  0.0376   0.0376    2.4863    0.0755  1.0000 -99.0000  0.0650  0.1233  7.9033 182.0000 2M15203344-5016165  
-34.144394   5.882396  5.1562  0.0743  0.0029  0.0279 -1.4490  0.0521   0.0521  -47.0506    0.1770  1.0000 -99.0000 -0.3403  0.3163  6.8894 183.0000 2M15203349-5013588  
-29.584507  12.765591  4.4754  0.0717 -2.3690  0.0206 -1.4212  0.0238   0.0238  -15.0138    0.1459  1.0000 -99.0000 -0.0094  0.1687  5.7998 184.0000 2M15203430-4200402  
-34.303237   5.614350  7.4978  0.5163 -6.9596  0.0149  1.7277  0.0255   0.0255  -59.2583    0.0652  1.0000 -99.0000 -0.2345  0.2589  9.2258 187.0000 2M15203817-5032381  
-30.103382  11.976820  5.1221  0.3017 -3.4980  0.0239  1.1673  0.0240   0.0240  -73.1723    0.0644  1.0000 -99.0000  0.2470 -0.0136  5.6491 188.0000 2M15203848-4256551  
-33.624577   6.599360  5.1998  0.1993 -8.0457  0.0325 -1.5720  0.0354   0.0354  -68.6220    0.0841  1.0000 -99.0000 -0.1932  0.1843  6.2486 189.0000 2M15205018-4921013  
-34.341912   5.474584  5.6467  0.2538 -5.5000  0.0184  1.4306  0.0294   0.0294 -109.2763    0.1433  1.0000 -99.0000 -0.3235  0.3006  9.1120 194.0000 2M15205460-5040560  
-34.124641   5.777686  7.4939  0.3305 -8.4683  0.0297 -0.8117  0.0593   0.0593  -54.5562    0.1211  1.0000 -99.0000 -0.2382  0.2709  8.2921 198.0000 2M15210102-5018370  
-33.534726   6.668732  5.7802  0.1249 -5.3350  0.0484 -0.2382  0.0388   0.0388  -86.6393    0.0750  1.0000 -99.0000 -0.2315  0.0850  5.0832 199.0000 2M15210385-4914370  
-29.853625  12.163733  8.5838  0.3852 -6.0557  0.0306  0.3452  0.0331   0.0331  -27.8663    0.0758  1.0000 -99.0000 -0.3829  0.2708  8.8414 202.0000 2M15211130-4239285  
-34.271986   5.451918  5.7768  0.1638 -5.6491  0.0222  0.2496  0.0351   0.0351 -119.7239    0.1122  1.0000 -99.0000 -0.2054  0.1764  5.7329 206.0000 2M15212140-5039484  
-29.862865  12.090326  4.7465  0.1790 -6.1006  0.0236  0.0636  0.0234   0.0234  -32.1923    0.0535  1.0000 -99.0000 -0.3632  0.2449  7.3484 207.0000 2M15212211-4243266  
-33.725359   6.268157  6.2958  0.2860 -6.4501  0.0374  1.7470  0.0437   0.0437  -86.5148    0.0987  1.0000 -99.0000 -0.3734  0.3262  9.1926 209.0000 2M15212576-4940578  
-30.009423  11.791238  7.6060  0.3211 -8.3731  0.0329 -0.1754  0.0383   0.0383  -41.7875    1.8931  1.0000 -99.0000 -0.2761  0.2991  9.5889 212.0000 2M15213728-4303089  
-30.009607  11.774376  5.6587  0.1218 -9.8223  0.0275 -1.8480  0.0346   0.0346 -103.1862    0.0751  1.0000 -99.0000  0.0853  0.1227  6.2200 214.0000 2M15214030-4303598  
-33.732545   6.149481  6.3572  0.3263 -8.5489  0.0264 -0.3439  0.0355   0.0355  -30.6540    0.0461  1.0000 -99.0000 -0.2030  0.2789  9.0290 218.0000 2M15214758-4947099  
-33.594484   6.348585  5.9172  0.3229 -4.6756  0.0464 -0.2485  0.0416   0.0416  -65.8437    0.0880  1.0000 -99.0000  0.0872  0.0433  3.9296 220.0000 2M15214988-4932396  
-30.073357  11.627886  6.5697  0.2797 -6.2470  0.0268  1.4458  0.0286   0.0286 -100.3509    0.0490  1.0000 -99.0000 -0.0884  0.2517  8.9365 221.0000 2M15214992-4313233  
-33.593939   6.323566  6.2657  0.3930 -9.0147  0.0278 -1.2545  0.0283   0.0283  -55.5098    0.0183  1.0000 -99.0000  0.2359  0.0753  8.1287 223.0000 2M15215511-4933540  
-34.099996   5.541264  7.8988  0.4761 -7.4885  0.0288 -1.2686  0.0671   0.0671  -21.8669    0.0655  1.0000 -99.0000  0.0332  0.2018  8.1713 225.0000 2M15215724-5029428  
-34.192157   5.366757  7.1565  0.4059 -7.4861  0.0121 -0.4533  0.0243   0.0243  -62.0580    0.2009  1.0000 -99.0000 -0.2625  0.3010  8.6194 227.0000 2M15220421-5041294  
-29.814685  11.915767  4.7380  0.1717 -7.3206  0.0264  4.0713  0.0300   0.0300   11.1219    0.0726  1.0000 -99.0000 -0.3161  0.3640  9.8735 228.0000 2M15220661-4250353  
-29.875226  11.820387  5.6675  0.0919 -4.5748  0.0298 -0.6846  0.0297   0.0297  -87.1929    0.0856  1.0000 -99.0000 -0.1973  0.2366  6.8417 229.0000 2M15220784-4257192  
-33.854676   5.860334  6.7407  0.3515 -7.1999  0.0267 -0.9559  0.0522   0.0522  -52.3093    0.2952  1.0000 -99.0000  0.0605  0.1279  1.9714 230.0000 2M15220856-5005406  
-33.800370   5.940153  5.7323  0.1766 -6.7397  0.0254  0.8829  0.0441   0.0441 -133.3118    0.1108  1.0000 -99.0000  0.3054  0.0670  5.9011 231.0000 2M15220915-4959537  
-29.513884  12.326871  5.1215  0.0736 -4.2070  0.0234  0.4789  0.0272   0.0272   10.8263    0.1727  1.0000 -99.0000 -0.3585  0.3752  6.9098 233.0000 2M15221170-4220164  
-33.802120   5.922817  6.3455  0.2056 -4.9166  0.0279 -0.2517  0.0459   0.0459  -20.2933    0.1545  1.0000 -99.0000  0.1358  0.0595  5.1587 234.0000 2M15221214-5000494  
-33.471893   6.417504  8.5361  0.3906 -8.4131  0.0276 -1.7459  0.0346   0.0346 -121.6695    0.0601  1.0000 -99.0000 -0.2743  0.2822  8.5569 235.0000 2M15221363-4925120  
-29.867495  11.794640  6.5989  0.1008 -7.9193  0.0287  0.7423  0.0334   0.0334   44.0111    0.0925  1.0000 -99.0000 -0.3311  0.2824  5.9854 236.0000 2M15221459-4258212  
-29.610417  12.115267  4.4746  0.1601 -5.7133  0.0158 -1.7284  0.0169   0.0169 -116.2367    6.8044  1.0000 -99.0000 -0.2318  0.2334  7.6011 241.0000 2M15222456-4233583  
-33.893280   5.700222  6.3319  0.0936 -9.5229  0.0305  0.8503  0.0548   0.0548  -33.0358    0.2683  1.0000 -99.0000 -0.2829  0.2526  5.9353 242.0000 2M15222935-5014587  
-33.361757   6.479367  7.0144  0.3629 -4.6959  0.0279 -0.7626  0.0277   0.0277  -55.0117    0.1315  1.0000 -99.0000 -0.0128  0.0251  6.3661 243.0000 2M15223486-4918298  
-29.984416  11.495573  4.4695  0.2047 -3.9980  0.0283 -1.2138  0.0369   0.0369  -58.2704    0.1114  1.0000 -99.0000 -0.1437  0.3094 10.2213 245.0000 2M15223801-4317052  
-33.710787   5.924138  8.5169  0.4921 -5.7285  0.0275  0.6768  0.0396   0.0396  -58.1179    0.0423  1.0000 -99.0000  0.0508  0.0467  6.5407 246.0000 2M15224025-4957462  
-34.095068   5.339236  7.0715  0.4787 -7.5771  0.0221  0.6685  0.0449   0.0449  -31.0275    0.1334  1.0000 -99.0000  0.3034  0.0345  6.1148 247.0000 2M15224056-5039420  
-29.850829  11.670730  7.7982  0.3287 -5.7636  0.0254  3.5492  0.0277   0.0277 -118.7385    0.1280  1.0000 -99.0000 -0.3905  0.3220  9.3656 248.0000 2M15224168-4303591  
